timestamp,agent.name,rule.description,rule.level,rule.id
"Apr 9, 2025 @ 10:58:46.939","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:46.936","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:46.934","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:46.932","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:46.930","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:46.928","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:46.925","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:46.923","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:46.921","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:46.919","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:46.918","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:44.940","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:44.938","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:44.936","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:44.934","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:44.931","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:44.929","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:44.927","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:44.924","agente-ubuntu","sshd: authentication failed.","5","5760"
"Apr 9, 2025 @ 10:58:44.923","agente-ubuntu","sshd: authentication failed.","5","5760"
